
"[5,5,6,6,7,7,10,10,11,11]","[10,13]","[5,6,7]","[3,3,3]"
"[7,7,7,9,9,9,10,11,11,13,14,15,19,19]","[15]","[7,9]","[3,4,5]"
"[9,9,9,11,12,12,16,16,17,17,17,20,20,21,21,21,22,22,24,24,25,25,26,26,31,31,31,33,33,34,35,35]","[11,16,20,24,34]","[9,31,33]","[4,5,6]"
"[13,13,13,14,14,17,17,24,24,29,29,34,34,39,39,39,40,43,43,44,45,48,51,51,51,52,56,56,56,57,58,58,59,59,59,60,62,62,68,69,70,84,85,85,85,86,90,90,90,91,92,96,102,102,108,111,111,111,112,115,117,122,124,124,124,125,127,131,131,132,134,134,134]","[17,24,29,34,40,44,52,61,66,69,84,87,92,102,117,126]","[13,14,39,43,51,56,57,58,59,62,68,70,85,86,90,111,124,127,131]","[3,4,5,6,7,8,9,10,11,67]"
"[6,7,7,7,10,10,12,12,13,13,14,14,16,16,17,17,17,18,18,18,18,19,19,20,20]","[6,12,15,16,18]","[10,13,14,18,19,20]","[3,3]"
"[5,5,5,8,8,8,8,8,9,13,13,13,14,15,15,18,18,18,19,22]","[9,14,18]","[5,8,13]","[3,4,5,6]"
"[3,3,3,7,7,9,9,9,10,10,10,11,16,16,16,17,19,24,24,24,24,25,27,29,30,33,33,34,37,40,42]","[9,11,17,30,33]","[3,7,10,16,24]","[3,4,5,6,7]"
"[4,5,12,12,13,14,15,16,18,19,20,21,23,24,25,26,28,29,30,30,30,31,33,34,35,35,35,36,38,39,40,40,40,41,43,44,45,45,45,46,48,49,50,51,55,55,55,55,56,56,56,57,61,65,65,65,65,66,66,66,66,67,68,68,69,71,71,71,72,72,72,72,73,76,76,76,77,77,77,77,78,84,85,85,87,87,87,89,89,89,90,90,93,93,93,95,95,95,96,96,99,99]","[55,56,58,61,65,67,68,70,71,71,72,74,76,76,77,79,84,85,91,97]","[4,5,12,14,15,16,19,20,21,24,25,26,29,30,31,34,35,36,39,40,41,44,45,46,49,50,51,55,55,57,65,65,66,69,73,78]","[4,4,5,66]"
"[7,7,10,11,15,15,16,16]","[10]","[7,15,16]","[4,5]"
